NAALAD2	NAALAD2_rna-XM_015280387.2
DIRAS2	DIRAS2_rna-XM_025144943.1
USP19	USP19_ENSGALT00000047599.2
FYN	FYN_rna-XM_025148568.1
ANKK1	ANKK1_ENSGALT00000012682.6
PDE4B	PDE4B_rna-XM_015291032.2
CHID1	CHID1_ENSGALT00000011039.6
MAST4	MAST4_rna-XM_015277621.1
EHBP1	EHBP1_rna-XM_015278108.2
DENND1A	DENND1A_rna-XM_025141321.1
DENND4A	DENND4A_rna-XM_015292247.2
SHISA8	SHISA8_rna-XM_003640380.4
DNAJC2	DNAJC2_rna-XM_025147353.1
CADM1	CADM1_rna-XM_015298224.2
SGMS1	SGMS1_rna-XM_025151464.1
EP400	EP400_rna-XM_025155611.1
PPIC	PPIC_ENSGALT00000008572.6
DYNC1LI1	DYNC1LI1_rna-NM_001167737.1
GP1BB	GP1BB_ENSGALT00000104973.1
geneid-LOC107049444	geneid-LOC107049444_id-LOC107049444
OR14J1L10	OR14J1L10_rna-XM_423607.5
MRPL54	MRPL54_ENSGALT00000045101.3
TXN2	TXN2_rna-XM_015285949.2
AKIRIN2	AKIRIN2_rna-NM_001193595.2
ARHGAP17	ARHGAP17_rna-XM_004945256.2
C4orf47	C4orf47_ENSGALT00000021697.7
CERKL	CERKL_rna-XM_015289554.2
ILDR2	ILDR2_rna-XM_015298162.2
EIF4H	EIF4H_rna-XM_003642398.4
JAM3	JAM3_rna-XM_417876.5
COL1A2	COL1A2_rna-NM_001079714.2
PSMD1	PSMD1_rna-NM_001012600.3
DZIP1	DZIP1_rna-XM_025146755.1
ARL2	ARL2_rna-XM_015293851.2
ADGRB2	ADGRB2_rna-XM_025143055.1
KCNA3	KCNA3_rna-NM_001030378.1
HSPD1	HSPD1_ENSGALT00000013137.6
MIPOL1	MIPOL1_rna-XM_025150914.1
SNCA	SNCA_ENSGALT00000016908.6
EPB41L3	EPB41L3_rna-XM_015282571.2
MMR1L1	MMR1L1_rna-NM_001318433.1
PTBP2	PTBP2_rna-XM_422322.6
MAP3K12	MAP3K12_ENSGALT00000050937.3
MBNL2	MBNL2_rna-XM_015274407.2
ARFGEF1	ARFGEF1_rna-XM_418283.6
RAPGEF2	RAPGEF2_rna-XM_015285328.2
SMARCD1	SMARCD1_ENSGALT00000077392.2
C1H22orf23	C1H22orf23_rna-XM_416268.6
TECTA	TECTA_ENSGALT00000091378.1
MPZL2	MPZL2_rna-NM_001252284.1
HOXD3	HOXD3_rna-XM_015289590.2
MSRA	MSRA_ENSGALT00000044556.3
SATB1	SATB1_ENSGALT00000047367.2
NRAP	NRAP_rna-XM_004942280.3
SRGAP2	SRGAP2_rna-XM_025143896.1
MYH1D	MYH1D_rna-NM_001319304.1
DYSF	DYSF_rna-XM_025149872.1
PMFBP1	PMFBP1_rna-XM_025154343.1
NAXD	NAXD_rna-XM_015277873.2
RFLNA	RFLNA_rna-XM_001235027.5
TLE1	TLE1_rna-XM_015280362.2
SLC12A5	SLC12A5_rna-XM_025142286.1
ITGA4	ITGA4_ENSGALT00000063969.2
C1H2ORF40	C1H2ORF40_rna-XM_001234360.5
NT5C2	NT5C2_rna-XM_015288643.2
MCM9	MCM9_ENSGALT00000024014.6
TPST1	TPST1_rna-XM_003642394.4
PSPH	PSPH_rna-XM_025141953.1
TMEM242	TMEM242_rna-XM_004935651.3
JADE1	JADE1_rna-XM_015276623.2
OCRL	OCRL_rna-XM_004940576.3
SLC25A44	SLC25A44_rna-XM_025143023.1
FAM135A	FAM135A_rna-XM_015284801.2
EPN3	EPN3_rna-XM_015295516.2
ATP10D	ATP10D_rna-XM_004936057.3
NANP	NANP_ENSGALT00000104722.1
EPB41L1	EPB41L1_rna-XM_015296228.2
MAGI1	MAGI1_rna-XM_025154749.1
LSM7	LSM7_rna-XM_025144264.1
DCTN3	DCTN3_ENSGALT00000085885.2
ZBTB18	ZBTB18_ENSGALT00000017414.6
NR5A2	NR5A2_rna-XM_025152761.1
XKRX	XKRX_rna-XM_004940698.2
NPY	NPY_ENSGALT00000017891.6
SYTL2L	SYTL2L_rna-XM_004940819.3
B3GNT2	B3GNT2_rna-XM_015278054.2
NDUFS4	NDUFS4_rna-XM_424788.5
ESYT2	ESYT2_rna-XM_015282152.1
TPD52L1	TPD52L1_rna-XM_015284431.2
PDE4D	PDE4D_rna-XM_015277589.2
AMHR2	AMHR2_rna-XM_015289958.2
TIMM9	TIMM9_rna-XM_015287253.2
TMEM63A	TMEM63A_rna-XM_015283912.2
GREM2	GREM2_rna-XM_419552.6
LRRC75A	LRRC75A_rna-XM_015296030.2
SNAP91	SNAP91_rna-XM_015284658.2
S100B	S100B_rna-NM_001302142.1
ZMAT5	ZMAT5_rna-NM_001277514.1
DPH6	DPH6_rna-XM_015287348.2
ZMYND11	ZMYND11_rna-XM_004939164.3
MMD2	MMD2_rna-XM_414787.5
TUBB3	TUBB3_rna-NM_001031598.1
TRAF1	TRAF1_rna-XM_025141498.1
NDUFS2	NDUFS2_rna-XM_015280055.1
C1H2ORF40	C1H2ORF40_rna-XM_004938515.3
DAP	DAP_rna-NM_001031003.1
ZCCHC9	ZCCHC9_ENSGALT00000025157.6
NARS	NARS_ENSGALT00000051570.3
CEP55	CEP55_rna-XM_421675.5
GPR35	GPR35_rna-XM_004937026.3
MROH5	MROH5_rna-XM_025145133.1
CIZ1	CIZ1_rna-XM_025141436.1
TCF3	TCF3_rna-XM_015299896.2
FRRS1	FRRS1_rna-XM_025152936.1
ASPN	ASPN_rna-XM_414298.6
MBNL1	MBNL1_rna-XM_025153390.1
WHSC1	WHSC1_rna-XM_015285995.2
OSBPL2	OSBPL2_ENSGALT00000100527.1
COLEC11	COLEC11_rna-XM_025148811.1
OSER1	OSER1_ENSGALT00000088385.2
GNAT2	GNAT2_rna-XM_015298691.2
MAT2B	MAT2B_rna-XM_015293669.2
C1orf158	C1orf158_rna-NM_204914.2
TRAPPC13	TRAPPC13_rna-XM_015277312.2
EIF4B	EIF4B_rna-XM_025145599.1
MTSS1	MTSS1_rna-XM_015283093.2
FAM210B	FAM210B_rna-XM_015296418.2
KLHL29	KLHL29_rna-XM_015285053.2
FARSA	FARSA_rna-NM_001271157.1
PCSK1	PCSK1_rna-XM_003643060.4
SORBS1	SORBS1_rna-XM_015288497.2
KLHL7	KLHL7_rna-XM_015281441.2
SLC5A10	SLC5A10_rna-XM_015294426.2
PHKB	PHKB_rna-XM_025154166.1
NCMAP	NCMAP_ENSGALT00000071199.2
EFCAB5	EFCAB5_rna-XM_025142051.1
C3H6orf120	C3H6orf120_ENSGALT00000018251.2
MAPT	MAPT_rna-XM_025143987.1
ECE1	ECE1_rna-XM_015297253.1
RASAL2	RASAL2_rna-XM_004943245.3
CREB3L1	CREB3L1_rna-XM_015287237.2
HSBP1L1	HSBP1L1_ENSGALT00000096160.1
ALG8	ALG8_rna-XM_425656.6
CDH9	CDH9_rna-XM_001231540.5
CDH4	CDH4_rna-XM_015296375.2
FBXO40	FBXO40_ENSGALT00000092059.1
UNC13A	UNC13A_rna-XM_015299751.2
TLR1B	TLR1B_rna-XM_025149763.1
ATP2A2	ATP2A2_rna-NM_001271973.1
UBE2J2	UBE2J2_rna-XM_001233676.4
WFDC2L	WFDC2L_rna-XM_003642469.4
GSG1L2	GSG1L2_ENSGALT00000051049.2
PPP2R3B	PPP2R3B_rna-XM_004938452.3
ZNF536	ZNF536_rna-XM_015292490.2
BARHL1	BARHL1_rna-XM_015279765.2
DLGAP2	DLGAP2_rna-XM_025149070.1
MRPS26	MRPS26_rna-XM_015286027.2
RECK	RECK_rna-XM_015275926.2
EIF4G1	EIF4G1_rna-XM_025153664.1
MXRA8	MXRA8_ENSGALT00000106827.1
AUH	AUH_rna-XM_015280296.2
CCDC85A	CCDC85A_rna-XM_015283316.1
HBBA	HBBA_rna-NM_205489.2
ELAVL2	ELAVL2_rna-XM_015280735.2
KIFC3	KIFC3_rna-XM_015292321.2
BICD1	BICD1_rna-XM_025141350.1
KIAA1958	KIAA1958_rna-XM_004949514.3
DENND2A	DENND2A_rna-XM_004937866.3
MRVI1	MRVI1_rna-XM_015286454.2
PAFAH2	PAFAH2_rna-XM_004947743.3
FRMD4A	FRMD4A_rna-XM_015298894.2
COL11A1	COL11A1_rna-XM_004936544.3
TTLL9	TTLL9_rna-XM_015296455.2
IL3	IL3_rna-NM_001007083.1
AMMECR1L	AMMECR1L_rna-XM_015277183.2
C12H3orf18	C12H3orf18_rna-XM_015292779.2
SKI	SKI_rna-XM_015296936.2
AAAS	AAAS_ENSGALT00000088467.2
ATG5	ATG5_rna-XM_015284518.2
TMEM255B	TMEM255B_rna-XM_025146710.1
PPARD	PPARD_rna-XM_025143663.1
DST	DST_ENSGALT00000106700.1
GYPC	GYPC_rna-NM_001004407.1
ATP5S	ATP5S_ENSGALT00000074859.2
USF3	USF3_rna-NM_001277825.1_shortIntron
ARNT2	ARNT2_rna-XM_015292041.1
ITGA7	ITGA7_rna-XM_015272593.2
RMND1	RMND1_ENSGALT00000021155.6
ST3GAL4	ST3GAL4_rna-XM_417860.5
NEFH	NEFH_rna-XM_415310.5
NACC2	NACC2_ENSGALT00000101344.1
EMID1	EMID1_rna-XM_015294894.2
WDR63	WDR63_ENSGALT00000014155.6
METTL5	METTL5_rna-XM_001233694.5
PIM1	PIM1_ENSGALT00000067485.2
KIFC3	KIFC3_rna-XM_413996.6
RSAD2	RSAD2_rna-NM_001318443.1
PRKCE	PRKCE_ENSGALT00000016247.5
DNM3	DNM3_rna-XM_004943193.3
UNC45A	UNC45A_rna-XM_015292185.2
FBF1	FBF1_rna-XM_015295181.1
PRLR	PRLR_rna-XM_025144655.1
ADGRL2	ADGRL2_rna-XM_025152840.1
GRIA4	GRIA4_rna-XM_025146721.1
IL4R	IL4R_rna-XM_414885.6
ABLIM3	ABLIM3_ENSGALT00000105933.1
NDC80	NDC80_ENSGALT00000023897.4
NCF4	NCF4_rna-XM_015285353.2
CACNA1D	CACNA1D_rna-XM_015293004.2
RBM15B	RBM15B_ENSGALT00000098852.1
SRR	SRR_rna-XM_015296055.2
ROPN1L	ROPN1L_rna-XM_419011.5
CTNND1	CTNND1_rna-XM_015286848.1
HAL	HAL_ENSGALT00000103495.1
PPP6R3	PPP6R3_rna-XM_015286783.2
PRSS23	PRSS23_rna-XM_001234470.3
TSEN2	TSEN2_rna-XM_015293063.2
HTR1E	HTR1E_ENSGALT00000025516.5
MTMR1	MTMR1_rna-XM_025150478.1
GPAT4	GPAT4_ENSGALT00000092811.1
TIMM23B	TIMM23B_rna-XM_421501.6
ANKFN1L	ANKFN1L_rna-XM_015294769.1
FAM172A	FAM172A_ENSGALT00000023631.5
CDX2	CDX2_rna-NM_204311.1_shortIntron
BCL9	BCL9_rna-XM_015298290.2
PTDSS2	PTDSS2_rna-XM_015286204.2
POP5	POP5_rna-XM_015275410.2
STC1	STC1_rna-XM_425760.5
CHMP2B	CHMP2B_ENSGALT00000024990.3
SEMA6A	SEMA6A_rna-XM_025145234.1
ABLIM2	ABLIM2_rna-XM_004936187.3
RPS6KA1L	RPS6KA1L_rna-XM_015297515.2
RUFY3	RUFY3_ENSGALT00000018860.6
ODF2L	ODF2L_ENSGALT00000067312.2
SBF1	SBF1_rna-XM_015274836.2
PTPRC	PTPRC_rna-XM_025152738.1
ANO9	ANO9_rna-XM_015286255.2
CFAP70	CFAP70_rna-XM_001232753.5
DOLPP1	DOLPP1_rna-XM_015279475.2
STK24	STK24_rna-XM_025150145.1
NEBL1	NEBL1_rna-XM_025152532.1
HMGN1	HMGN1_rna-NM_205106.2
ZNF131	ZNF131_rna-XM_429143.6
CADM1	CADM1_rna-XM_025143231.1
AIP	AIP_ENSGALT00000069733.2
ZNF226L	ZNF226L_rna-XM_015272932.2
ST13	ST13_rna-NM_001030757.1
WDR86	WDR86_rna-XM_004939130.3
NDUFS6	NDUFS6_rna-XM_015282335.2
GSKIP	GSKIP_rna-XM_015287456.2
PCDH11X	PCDH11X_rna-XM_015278495.2
SGIP1	SGIP1_rna-XM_025153145.1
GCNT1	GCNT1_rna-XM_003643022.4
CYP7B1	CYP7B1_ENSGALT00000067965.2
RPP38	RPP38_ENSGALT00000090599.1
CLC2BL2	CLC2BL2_rna-XM_015295077.2
SYTL4	SYTL4_ENSGALT00000091512.1
CLSTN1	CLSTN1_rna-XM_015296821.2
RPS6KA5	RPS6KA5_rna-NM_001012587.2
CBLN4	CBLN4_rna-NM_001079487.1
SETD5	SETD5_rna-XM_025154480.1
OSGEPL1	OSGEPL1_rna-XM_025152269.1
TLE1L	TLE1L_rna-XM_015299743.2
PPP6R3	PPP6R3_rna-XM_015286780.2
NDUFA2	NDUFA2_ENSGALT00000080586.2
GYS2	GYS2_rna-XM_025142064.1
ERG	ERG_rna-NM_204280.1
SLC25A37	SLC25A37_rna-XM_417682.5
DNAJC11	DNAJC11_rna-XM_425731.6
GABRD	GABRD_rna-XM_004947393.3
NRXN3	NRXN3_rna-XM_025150771.1
RALGAPA1	RALGAPA1_rna-XM_015287374.2
TTLL11	TTLL11_rna-XM_025141443.1
MRPL53	MRPL53_rna-XM_025147090.1
CIPC	CIPC_ENSGALT00000016923.6
RBMX	RBMX_rna-XM_025149562.1
ADGRL3	ADGRL3_rna-XM_004941151.3
STARD13	STARD13_rna-XM_015278527.2
GJA8	GJA8_rna-XM_015295822.2
LRP12	LRP12_rna-XM_418378.6
FAM19A1	FAM19A1_rna-XM_015293258.2
MECOM	MECOM_rna-XM_015291752.2
EFCAB11	EFCAB11_rna-XM_426458.6
RAI14	RAI14_rna-XM_004937176.3
SCN3B	SCN3B_rna-XM_015298171.2
SLC22A15	SLC22A15_rna-XM_025143549.1
RBM5	RBM5_ENSGALT00000051206.2
STOML1	STOML1_ENSGALT00000002226.6
MYBBP1A	MYBBP1A_rna-XM_015295967.2
KNTC1	KNTC1_rna-XM_025155680.1
MR1	MR1_rna-XM_025155889.1
TTLL7	TTLL7_rna-XM_015290880.2
LDLRAD4	LDLRAD4_rna-XM_015282455.2
USB1	USB1_rna-XM_015292315.2
FAM57A	FAM57A_rna-XM_025142002.1
STX16	STX16_rna-XM_015296405.1
SNED1	SNED1_rna-XM_025153511.1
DGKI	DGKI_rna-XM_025156061.1
PTPN7	PTPN7_rna-XM_015298763.2
KLC1	KLC1_rna-XM_015287844.2
ADCY8	ADCY8_ENSGALT00000073355.2
FUT8	FUT8_rna-NM_001004766.1_shortIntron
HIKESHI	HIKESHI_rna-NM_001031412.1
TAOK3	TAOK3_rna-XM_015275180.1
RPP25L	RPP25L_rna-XM_015277450.2
DUSP13L	DUSP13L_rna-XM_003641535.3
NFYA	NFYA_rna-XM_025143704.1
PFKFB3	PFKFB3_rna-XM_025153289.1
HEATR1	HEATR1_rna-XM_025149348.1_shortIntron
PRR5	PRR5_rna-XM_015290544.2
PMFBP1	PMFBP1_rna-XM_025154346.1
MOSMO	MOSMO_ENSGALT00000011230.5
ASCC2	ASCC2_rna-XM_015294900.2
WDTC1	WDTC1_rna-XM_417728.6
PLEKHG4	PLEKHG4_rna-XM_004944102.3
GBGT1	GBGT1_rna-NM_001030683.1
SASH1	SASH1_rna-XM_025149375.1
PALMD	PALMD_rna-NM_001277552.1
MDM4	MDM4_rna-XM_004934924.3
RPP40	RPP40_rna-XM_418963.5
CDCP1	CDCP1_rna-XM_025147502.1
FAM53A	FAM53A_rna-XM_015285871.2
PCF11	PCF11_rna-XM_025146901.1
SEC14L5	SEC14L5_rna-XM_004945423.3
SFT2D1	SFT2D1_rna-XM_025148887.1
TGOLN2	TGOLN2_rna-XM_015272951.2
TMEM161B	TMEM161B_rna-XM_424528.6
FAAP24	FAAP24_rna-NM_001277595.1
ADIPOQ	ADIPOQ_ENSGALT00000008913.3
TMEM129	TMEM129_ENSGALT00000025335.5
AMH	AMH_ENSGALT00000068088.2
GATAD2A	GATAD2A_rna-XM_015300041.2
IL22RA2	IL22RA2_ENSGALT00000102071.1
CLK1	CLK1_ENSGALT00000105779.1
WDPCP	WDPCP_ENSGALT00000014402.7
FBLIM1	FBLIM1_rna-XM_015297176.2
GREM1	GREM1_ENSGALT00000015827.6
MC5R	MC5R_rna-NM_001031015.1
ZYG11B	ZYG11B_rna-XM_015291205.2
DIO1	DIO1_rna-NM_001097614.1
MSX1	MSX1_ENSGALT00000024209.4
ARHGAP24	ARHGAP24_rna-XM_004941116.3
YBX3	YBX3_rna-NM_205406.2
HOXC11	HOXC11_rna-XM_428250.5
ASH2L	ASH2L_rna-XM_015297368.1
DLG3	DLG3_rna-XM_015278417.2
SNX16	SNX16_rna-XM_015282792.2
B3GAT1L	B3GAT1L_rna-XM_025147112.1
ATRNL1	ATRNL1_rna-XM_025151795.1
CSE1L	CSE1L_rna-XM_417389.6
DENND4C	DENND4C_rna-XM_015280196.2
SVIL	SVIL_rna-XM_025148348.1
PJA2	PJA2_rna-XM_413980.6
FAM65A	FAM65A_rna-XM_015279181.1
OLAH	OLAH_rna-XM_015281988.2
NTM	NTM_rna-XM_015297952.2
OXNAD1	OXNAD1_rna-XM_015281479.2
BTK	BTK_rna-NM_204233.2
CACNA2D2	CACNA2D2_rna-XM_015292786.2
FAM160B1	FAM160B1_rna-XM_025151957.1
ZNF385A	ZNF385A_ENSGALT00000090197.2
NAA40	NAA40_rna-XM_025145648.1
B3GNT2	B3GNT2_rna-XM_015278061.2
SLC5A10	SLC5A10_rna-XM_004945215.3
PCYT1A	PCYT1A_ENSGALT00000099249.1
IARS	IARS_rna-XM_414300.5
CSMD1	CSMD1_ENSGALT00000055038.2
MARCH1	MARCH1_rna-XM_015285292.2
EZH2	EZH2_rna-XM_015275909.2
CEP19	CEP19_rna-NM_001277441.1
CADPS	CADPS_rna-XM_025154727.1
USF1	USF1_rna-NM_001007485.1
ACAP3	ACAP3_rna-XM_417581.6
KCNT2	KCNT2_rna-XM_025153027.1
FAM135A	FAM135A_ENSGALT00000101440.1
CPEB1	CPEB1_rna-XM_025153815.1
PDGFRL	PDGFRL_ENSGALT00000032107.5
MUTYH	MUTYH_ENSGALT00000016624.7
ITPR1	ITPR1_rna-XM_015292949.2
JPT2	JPT2_rna-NM_001278153.1
CORO6	CORO6_rna-XM_015296098.2
ENOX2	ENOX2_rna-XM_015278218.2
MBNL1	MBNL1_rna-XM_025153393.1
DCAKD	DCAKD_rna-XM_025144096.1
FXR1	FXR1_rna-NM_001012601.2
CDKN2C	CDKN2C_rna-XM_426660.6
BEND4	BEND4_ENSGALT00000059150.2
SDHB	SDHB_rna-NM_001278039.1
SAMD8	SAMD8_rna-XM_015288296.2
ACLY	ACLY_rna-XM_015299576.2
MRPS18A	MRPS18A_rna-NM_001277623.1
AP1AR	AP1AR_rna-XM_004935952.3
CACNA1D	CACNA1D_rna-XM_025154429.1
FCHSD1	FCHSD1_rna-XM_015293634.1
IGSF21	IGSF21_ENSGALT00000048907.2
KHDRBS1	KHDRBS1_rna-NM_204230.1
OSBPL5	OSBPL5_rna-XM_001234138.4
NKAIN4	NKAIN4_ENSGALT00000055333.2
USP54	USP54_rna-XM_025151785.1
TVP23A	TVP23A_rna-XM_015294577.2
SLC25A47	SLC25A47_rna-XM_025150908.1
ACVR1	ACVR1_rna-XM_015290130.2
PHLDB1	PHLDB1_rna-XM_025143369.1
SLCO2A1	SLCO2A1_rna-XM_025153358.1
SLC4A10	SLC4A10_rna-XM_015289725.2
PIBF1	PIBF1_rna-XM_417014.6
NDUFB2	NDUFB2_rna-XM_015285557.2
LZIC	LZIC_rna-XM_025142521.1
WBP4	WBP4_rna-XM_015275479.2
TTI2	TTI2_ENSGALT00000002520.6
KLHL12	KLHL12_ENSGALT00000000712.6
WNK1	WNK1_rna-XM_015286721.2
TEX36	TEX36_rna-XM_001231849.5
HDAC3	HDAC3_rna-NM_204747.1
GRP	GRP_rna-NM_001277900.1
ZDHHC13	ZDHHC13_rna-XM_015286193.2
PPM1F	PPM1F_ENSGALT00000063419.3
SPP1	SPP1_rna-NM_204535.4
MEGF6	MEGF6_rna-XM_015297087.2
CACNA1E	CACNA1E_rna-XM_015290486.2
TTC37	TTC37_rna-XM_004949388.3
GDPD1	GDPD1_ENSGALT00000008181.6
HNRNPK	HNRNPK_rna-XM_015280372.2
TTI2	TTI2_rna-XM_004947575.3
NEPRO	NEPRO_rna-XM_025143769.1
ZBTB42	ZBTB42_rna-XM_015287856.2
SDHAF2	SDHAF2_rna-XM_015286085.2
GRIN2C	GRIN2C_rna-XM_015295466.2
NEIL3	NEIL3_rna-XM_426306.5
CCDC127	CCDC127_rna-XM_015282330.2
SGCD	SGCD_rna-XM_015293900.2
CRY4	CRY4_rna-XM_015298681.2
POLR1D	POLR1D_rna-XM_426271.6
PTPRS	PTPRS_rna-XM_015300029.2
SEC31B	SEC31B_ENSGALT00000093714.1
SRSF11	SRSF11_rna-XM_025152892.1
NTN4	NTN4_ENSGALT00000018613.7
PLEKHA7	PLEKHA7_rna-XM_025151080.1
ARVCF	ARVCF_rna-XM_015275161.2
RPP40	RPP40_ENSGALT00000076096.2
AMY2A	AMY2A_rna-XM_025152789.1
SEZ6L	SEZ6L_rna-XM_015275492.1
DMXL1	DMXL1_rna-XM_015280679.2
RBM20	RBM20_rna-XM_015288973.2
PLEKHA6	PLEKHA6_rna-XM_025143909.1
CPE	CPE_rna-XM_420392.6
MOG	MOG_rna-XM_025147840.1
NPAS2	NPAS2_rna-XM_015277682.2
TPX2	TPX2_ENSGALT00000088315.2
ESRP1	ESRP1_rna-XM_004939951.2
TF	TF_rna-NM_205304.1
GUCY2C	GUCY2C_rna-XM_416207.6
KCNH2	KCNH2_ENSGALT00000097392.1
ATF1	ATF1_rna-XM_004949720.3
EXOC1	EXOC1_ENSGALT00000081358.2
PLCG2	PLCG2_rna-XM_004944258.3
KIAA1841	KIAA1841_rna-XM_015283298.2
GALNT12	GALNT12_rna-XM_015282396.2
CSAD	CSAD_rna-XM_025145493.1
KARS	KARS_rna-XM_015292605.2
DPY19L3	DPY19L3_ENSGALT00000007256.7
ZZZ3	ZZZ3_rna-XM_025153016.1
C1H12ORF45	C1H12ORF45_rna-XM_003640394.4
THBS4	THBS4_rna-NM_001321549.1
NELFA	NELFA_rna-NM_001031167.1
TTC36	TTC36_rna-XM_015297994.2
CCDC129	CCDC129_rna-XM_015281662.2
PPP1R26	PPP1R26_rna-XM_004945964.3
MTFR1	MTFR1_ENSGALT00000048631.3
GNB4	GNB4_ENSGALT00000098772.1
SEC16B	SEC16B_rna-XM_025152819.1
TRAPPC9	TRAPPC9_rna-XM_015283239.2
OGFR	OGFR_rna-XM_015296648.2
PRAG1	PRAG1_ENSGALT00000029980.6
SH3BP2	SH3BP2_rna-XM_015285780.2
SNAP91	SNAP91_rna-XM_015284640.2
HHIP	HHIP_rna-XM_015276719.2
TCFL5	TCFL5_ENSGALT00000083760.2
DNA2	DNA2_rna-NM_001006497.1
HSF2BP	HSF2BP_rna-XM_025145711.1
ARHGEF39	ARHGEF39_rna-NM_001195689.1
RHBDD2	RHBDD2_rna-XM_004946503.3
NXPE3	NXPE3_rna-XM_015297239.2
PAPPA2	PAPPA2_rna-XM_025153164.1
C2orf50	C2orf50_rna-XM_004935761.3
TMEM41A	TMEM41A_rna-NM_001277686.1
POR	POR_rna-XM_015295714.2
NEK1	NEK1_rna-XM_015285375.2
PRKAA2	PRKAA2_rna-NM_001039605.1
ZCCHC11	ZCCHC11_rna-XM_015291218.2
PAX2	PAX2_rna-XM_025151477.1
ENTPD1	ENTPD1_rna-XM_015288623.2
RORA	RORA_rna-XM_015278888.2
EHBP1	EHBP1_rna-XM_015278099.2
FGGY	FGGY_rna-XM_025153126.1
SORBS1	SORBS1_rna-XM_015288510.2
IRF6	IRF6_ENSGALT00000099090.1
MTR	MTR_rna-XM_015284111.2
CS	CS_rna-XM_015300287.2
TWIST2	TWIST2_ENSGALT00000006798.4
LHFPL3	LHFPL3_ENSGALT00000081575.2
NIP7	NIP7_rna-NM_001277489.1
ADGRG7	ADGRG7_rna-XM_015296915.1
MED27	MED27_rna-NM_001277275.1
PDLIM7	PDLIM7_rna-XM_015293817.2
CPB1	CPB1_rna-NM_001277445.1
PLEKHA6	PLEKHA6_rna-XM_025143912.1
ODF3L6	ODF3L6_rna-XM_025142145.1
MBD3	MBD3_rna-XM_015299946.2
RAB34	RAB34_rna-XM_015296089.2
LINGO3	LINGO3_ENSGALT00000001168.7
CARF	CARF_ENSGALT00000051658.2
SH3GL3	SH3GL3_rna-NM_204528.1
DHRS3	DHRS3_rna-XM_025142530.1
ARHGEF10L	ARHGEF10L_rna-XM_025142713.1
SLTM	SLTM_rna-XM_015278908.2
CALCB	CALCB_rna-XM_025150612.1
TP73	TP73_rna-XM_004947368.3
CCSER2	CCSER2_rna-XM_015287971.2
NAPEPLD	NAPEPLD_rna-XM_015275728.2
NOL9	NOL9_rna-XM_015297038.2
MAD2L2	MAD2L2_ENSGALT00000007392.6
PLXDC2	PLXDC2_rna-XM_418613.6
PDLIM7	PDLIM7_rna-XM_015293816.2
RILPL1	RILPL1_ENSGALT00000005250.6
TPK1	TPK1_rna-XM_015275897.2
SPEG	SPEG_rna-XM_003641642.4
ATP6V1A	ATP6V1A_ENSGALT00000093236.1
SNCG	SNCG_rna-XM_025151467.1
C5H14orf37	C5H14orf37_rna-XM_421438.6
DAAM2	DAAM2_rna-XM_015283801.2
ZMYM2	ZMYM2_rna-XM_004938814.3
ADAM5P	ADAM5P_rna-XM_015288890.2
DNAJB12	DNAJB12_ENSGALT00000060069.2
RNF6	RNF6_rna-XM_004938784.2
EPHB1	EPHB1_ENSGALT00000010668.6
RDM1	RDM1_rna-NM_204546.2
B4GALT1	B4GALT1_rna-NM_205202.1
STMN1	STMN1_ENSGALT00000002237.5
EDC4	EDC4_rna-XM_004944062.3
NDRG1	NDRG1_rna-XM_418430.6
GALNT9	GALNT9_rna-XM_025155563.1
MACF1	MACF1_ENSGALT00000071537.2
STK38L	STK38L_ENSGALT00000097967.1
DGKH	DGKH_rna-XM_001232790.4
TMCC1	TMCC1_rna-XM_025154597.1
RARB	RARB_rna-NM_205326.1
LARP6L	LARP6L_rna-NM_001326492.1
PRKAR1B	PRKAR1B_rna-XM_004945114.3
PPP1R3D	PPP1R3D_rna-XM_004947077.3
DNAJC6	DNAJC6_ENSGALT00000102962.1
NCLN	NCLN_rna-XM_025144278.1
NEBL1	NEBL1_rna-XM_025152545.1
FOXN3	FOXN3_rna-XM_015287737.2
KDM3A	KDM3A_ENSGALT00000037139.4
FBXW8	FBXW8_rna-XM_025155601.1
RRP15	RRP15_rna-XM_419413.5
ARL3	ARL3_ENSGALT00000013061.6
ERI3	ERI3_ENSGALT00000016435.7
GGPS1	GGPS1_ENSGALT00000058773.2
PDE5A	PDE5A_rna-NM_001319020.1
NECTIN1	NECTIN1_ENSGALT00000062228.3
WRB	WRB_rna-NM_001079497.1
NRDE2	NRDE2_ENSGALT00000017369.6
KIAA0895	KIAA0895_ENSGALT00000063458.2
FAM160A1	FAM160A1_ENSGALT00000016413.6
CDC42SE2	CDC42SE2_ENSGALT00000094778.1
CTSV	CTSV_ENSGALT00000020588.7
WNK2	WNK2_rna-XM_015293423.2
SPTLC3	SPTLC3_rna-XM_001231525.4
FHL1	FHL1_rna-XM_004940679.3
PCBP4	PCBP4_rna-XM_025154691.1
GPATCH8	GPATCH8_rna-XM_025144205.1
NIM1KZ	NIM1KZ_ENSGALT00000023981.6
HNRNPH2	HNRNPH2_rna-XM_025154792.1
GDAP1L1	GDAP1L1_rna-XM_001234176.5
OSBPL3	OSBPL3_rna-XM_004939354.3
LBFABP	LBFABP_rna-NM_204634.1
AAR2	AAR2_rna-NM_001030844.1
ATRN	ATRN_rna-XM_015286049.2
TP53BP1	TP53BP1_rna-XM_004943995.3
